id,lucsum,soilsum,vegsum,ADMIN,ADM0_A3,NAME,NAME_LONG,BRK_NAME,cstock,tot_H,tot_S
rice,368456.9993659258,55722383.55455208,50420966.52696443,Madagascar,MDG,Madagascar,Madagascar,Madagascar,1.6,634522.1148282242,717699.5575359061
rice,NA,NA,NA,Comoros,COM,Comoros,Comoros,Comoros,1.6,360857.7151520985,418790.57182541944
rice,NA,NA,NA,São Tomé and Principe,STP,São Tomé and Principe,São Tomé and Principe,Sao Tome and Principe,1.6,360857.7151520985,418790.57182541944
rice,NA,NA,NA,Cabo Verde,CPV,Cabo Verde,Republic of Cabo Verde,Cabo Verde,1.6,360857.7151520985,418790.57182541944
sorg,1116138.49908568,129626985.2561545,72257956.12547117,Ethiopia,ETH,Ethiopia,Ethiopia,Ethiopia,0.4,342371.1060881604,406247.4457622138
sorg,900118.6981765032,99100472.9002657,32438893.13872313,South Sudan,SDS,S. Sudan,South Sudan,S. Sudan,0.4,231596.71570599749,292150.12961192464
sorg,150278.5007176995,6705610.715409987,414713.3349391464,Somalia,SOM,Somalia,Somalia,Somalia,0.4,49554.77250982652,74096.44597517217
sorg,116569.2003123984,15681117.1478076,11530731.9514495,Kenya,KEN,Kenya,Kenya,Kenya,0.4,484542.5683826427,558529.6456567489
sorg,69097.09999197721,8650552.249135971,3072044.404397368,Malawi,MWI,Malawi,Malawi,Malawi,0.4,276313.95963159425,345170.7385351547
sorg,340291.5005985349,41855053.17126274,26652069.85598981,United Republic of Tanzania,TZA,Tanzania,Tanzania,Tanzania,0.4,398459.24383335223,466107.9485576971
sorg,3620.099990010262,137566.4455187321,10129.89340484329,Somaliland,SOL,Somaliland,Somaliland,Somaliland,0.4,43627.53459676319,64527.936586788936
sorg,8497.600086688995,273029.6768321991,24326.48581534624,Morocco,MAR,Morocco,Morocco,Morocco,0.4,38482.76787437343,56154.38347475176
sorg,NA,NA,NA,Western Sahara,SAH,W. Sahara,Western Sahara,W. Sahara,0.4,178902.58405574173,225828.78401621588
sorg,NA,NA,NA,Republic of the Congo,COG,Congo,Republic of the Congo,Republic of the Congo,0.4,178902.58405574173,225828.78401621588
sorg,4836.399981372058,705116.736685276,710776.928112328,Democratic Republic of the Congo,COD,Dem. Rep. Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,0.4,671045.7580502497,751232.3031396989
sorg,4930.899983279407,377564.3345272318,22994.19931553467,Namibia,NAM,Namibia,Namibia,Namibia,0.4,85822.20668298106,127936.30039693798
sorg,21799.30009479076,1156044.875279451,357479.6000162447,South Africa,ZAF,South Africa,South Africa,South Africa,0.4,107273.81240489992,136441.01862890326
sorg,NA,NA,NA,Libya,LBY,Libya,Libya,Libya,0.4,178902.58405574173,225828.78401621588
sorg,501.8999980762601,14287.45824817568,3220.057911607437,Tunisia,TUN,Tunisia,Tunisia,Tunisia,0.4,48152.21325398577,63808.92189438438
sorg,11031.1999514401,1390661.495865822,239294.0210381076,Zambia,ZMB,Zambia,Zambia,Zambia,0.4,193633.09200184533,262969.5038240561
sorg,11573.00002336502,1223131.823123932,1459931.083508492,Sierra Leone,SLE,Sierra Leone,Sierra Leone,Sierra Leone,0.4,557963.4549661838,616092.0734194791
sorg,30629.29999858141,3596695.886734962,2784708.942872524,Guinea,GIN,Guinea,Guinea,Guinea,0.4,439534.94575450855,504119.59959236474
sorg,99.10000038146973,12392.91943359375,15620.79541015625,Liberia,LBR,Liberia,Liberia,Liberia,0.4,691130.969261643,759911.0465798979
sorg,17706.29996225983,2377586.898056984,1633644.908644199,Central African Republic,CAF,Central African Rep.,Central African Republic,Central African Rep.,0.4,459921.9919271964,533775.5241004108
sorg,3184912.002066627,174083254.2103539,9553575.142257974,Sudan,SDN,Sudan,Sudan,Sudan,0.4,59635.83530350632,89698.13836040934
sorg,NA,NA,NA,Djibouti,DJI,Djibouti,Djibouti,Djibouti,0.4,178902.58405574173,225828.78401621588
sorg,116965.2003934383,6638488.942886591,379829.5381183997,Eritrea,ERI,Eritrea,Eritrea,Eritrea,0.4,62466.792278896944,93682.6488439788
sorg,35307.70016441494,3623777.207063675,3180464.167422295,Ivory Coast,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,0.4,422902.45538274915,479351.2598815977
sorg,858002.3990165219,87322919.23765057,12657380.0723346,Mali,MLI,Mali,Mali,Mali,0.4,145918.00620218486,201894.07997046225
sorg,45472.10007768124,3870767.575418651,246222.2717061434,Senegal,SEN,Senegal,Senegal,Senegal,0.4,96417.93948639184,143236.1458776375
sorg,1331532.39990446,133648078.7889783,44612449.6974263,Nigeria,NGA,Nigeria,Nigeria,Nigeria,0.4,213390.8322078036,268595.2292913536
sorg,17049.20008140802,1801393.109729767,813016.1850070953,Benin,BEN,Benin,Benin,Benin,0.4,270237.362857265,328349.54440364684
sorg,118073.8001390174,13869967.51071844,8077095.825385742,Angola,AGO,Angola,Angola,Angola,0.4,357039.2411757256,421646.98753362667
sorg,22030.80006146431,220438.6054181457,15455.48612971231,Botswana,BWA,Botswana,Botswana,Botswana,0.4,10277.74736824732,15781.007923548354
sorg,145675.5000335798,9071617.941472292,1185266.668692872,Zimbabwe,ZWE,Zimbabwe,Zimbabwe,Zimbabwe,0.4,85449.99098662086,119700.0183876571
sorg,507759.3003656566,37788422.64323306,3303122.24672994,Chad,TCD,Chad,Chad,Chad,0.4,90606.16317082992,131538.2198339203
sorg,50.40000040829182,3938.259775400162,2625.550070971251,Algeria,DZA,Algeria,Algeria,Algeria,0.4,261173.9738183342,304151.01466997934
sorg,274223.7998486832,32233998.34904242,18127569.89326787,Mozambique,MOZ,Mozambique,Mozambique,Mozambique,0.4,348669.20100146614,413319.67664127576
sorg,184.7999985814095,19143.1411895752,14433.94927752018,eSwatini,SWZ,eSwatini,Kingdom of eSwatini,eSwatini,0.4,379877.2762391169,436850.91116925015
sorg,68216.19992995262,9333432.630270958,12018247.82391357,Burundi,BDI,Burundi,Burundi,Burundi,0.4,769941.8157681013,845193.5587839861
